YEAR,SEASON,MONTH,LAKE,STATION,LATITUDE,LONGITUDE,"STN_DEPTH, m",SAMPLING_DATE,SAMPLING_DATE TIME ZONE,"SMPL_DEPTH, m",DEPTH_CODE,QC_ID,SAMPLE_ID,"Particulate Total N, mg/L",Particulate Total N qual,"Particulate Total P, ug/L",Particulate Total P qual,"Phosphorus, Extractable as P, ug/L","Phosphorus, Extractable as P qual","Particulate Organic Carbon, mg/L",Particulate Organic Carbon qual,"Total Suspended Solids, mg/L",Total Suspended Solids qual
2008,Summer,August,Superior,SU08M,47.605833,-86.817667,299.6,8/20/2008 15:28,EDT,,INT-SUM,RFS,08GS49I72,0.0108,,1.16448,,,,0.094115173,,0.19,
2008,Summer,August,Superior,SU08M,47.605833,-86.817667,299.6,8/20/2008 15:28,EDT,35,DCL,RFS,08GS49S75,0.014,,1.42576,,,,0.14105744,,0.21725,
2008,Summer,August,Superior,SU17M,47.164,-89.661333,201.4,8/26/2008 8:45,EDT,,INT-SUM,RFS,08GS51I92,0.009,,3.2,,,,0.095697413,,0.2025,
2008,Summer,August,Superior,SU17M,47.164,-89.661333,201.4,8/26/2008 8:45,EDT,30,DCL,RFS,08GS51S95,0.01768,,1.19884,,,,0.172011147,,0.276,
2009,Spring,April,Erie,ER15M,42.516667,-79.893333,64.7,4/16/2009 9:31,EDT,,INT-SPR,RFS,09GC20I32,0.00692,,3.57744,,0.66272,,0.12925512,,1.2645,
2009,Spring,April,Erie,ER78M,42.116667,-81.25,23.5,4/15/2009 16:34,EDT,,INT-SPR,RFS,09GC19I52,0.02056,,7.18088,,1.41376,,0.36,,3.184,
2009,Spring,April,Erie,ER91M,41.840667,-82.916667,10.7,4/14/2009 20:53,EDT,,INT-SPR,RFS,09GC17I92,0.0352,,42.85333333,,7.6094,,1.13183728,,42.884,
2009,Spring,April,Huron,HU15M,44.000667,-82.3495,65,4/12/2009 11:28,EDT,,INT-SPR,RFS,09GB15I12,0.00298,,1.38664,,0.19168,,0.07183134,FRB-QC,0.317,
2009,Spring,April,Huron,HU45M,45.137,-82.982833,101.2,4/11/2009 13:41,EDT,,INT-SPR,RFS,09GB13I92,0.00334,,1.02262,,0.099933333,,0.04861606,FRB-QC,0.23875,
2009,Spring,April,Huron,HU54M,45.516833,-83.416667,132.3,4/11/2009 0:48,EDT,,INT-SPR,RFS,09GB13I32,0.0035,,1.16702,,0.128346667,,0.05875368,FRB-QC,0.2195,
2009,Spring,April,Michigan,MI18M,42.733333,-86.999833,161.5,4/8/2009 21:00,EDT,,INT-SPR,RFS,09GA10I52,0.004,,1.343386667,,0.218226667,,0.090298453,FRB-QC,0.46,
2009,Spring,April,Michigan,MI27M,43.6,-86.916833,109,4/9/2009 5:41,EST,,INT-SPR,RFS,09GA11I12,0.0048,,1.191306667,,0.237293333,,0.09956952,FRB-QC,0.332,
2009,Spring,April,Michigan,MI41M,44.7365,-86.721667,268.6,4/9/2009 20:06,EDT,,INT-SPR,RFS,09GA12I12,0.004533333,,1.774746667,,0.487426667,,0.074099093,FRB-QC,0.25425,
2009,Spring,April,Ontario,ON33M,43.596667,-78.8015,145.1,4/17/2009 9:58,EDT,,INT-SPR,RFS,09GE22I52,0.005306667,,2.089653333,,0.468106667,,0.08,FRB-QC,0.30325,
2009,Spring,April,Ontario,ON55M,43.4435,-77.438333,199.5,4/18/2009 4:40,EDT,,INT-SPR,RFS,09GE23I52,0.00528,,2.693333333,,0.578093333,,0.09180216,,0.3695,
2009,Spring,April,Superior,SU01M,46.993,-85.161,95.3,4/22/2009 23:35,EDT,,INT-SPR,RFS,09GS24I12,0.00332,,1.06316,,0.16306,,0.07473108,,0.27025,
2009,Spring,April,Superior,SU08M,47.6055,-86.81815,297.7,4/23/2009 11:45,EDT,,INT-SPR,RFS,09GS24I72,0.004426667,,1.192986667,,0.163106667,,0.07199874,,0.2,
2009,Spring,April,Superior,SU17M,47.1645,-89.661833,209.1,4/27/2009 17:47,EDT,,INT-SPR,RFS,09GS26I72,0.003893333,,1.291226667,,0.2132,,0.104441067,,0.26775,
2009,Summer,August,Erie,ER15M,42.5165,-79.893167,63.2,8/19/2009 17:23,EDT,,INT-SUM,RFS,09GC46I32,0.0136,,3.2592,,0.9572,,0.23816184,,0.91,
2009,Summer,August,Erie,ER15M,42.5165,-79.893167,63.2,8/19/2009 17:23,EDT,20.9,DCL,RFS,09GC46S35,0.01688,,3.7608,,0.4054,,0.15158256,FRB-QC,0.517666667,
